City,Country,YearFrom,YearTo
Frankfurt,Germany,1700,2026
Hamburg,Germany,1700,2026
Hanover,Germany,1700,2026
Leipzig,Germany,1700,2026
Lübeck,Germany,1700,2026
Munich,Germany,1700,2026
Nuremberg,Germany,1700,2026
Stuttgart,Germany,1700,2026
Athens,Greece,1700,2026
Chania,Greece,1700,2026
Corfu,Greece,1700,2026
Heraklion,Greece,1700,2026
Ioannina,Greece,1700,2026
Kalamata,Greece,1700,2026
Larissa,Greece,1700,2026
Patras,Greece,1700,2026
Thessaloniki,Greece,1700,2026
Volos,Greece,1700,2026
Buda,Hungary,1700,1872
Budapest,Hungary,1873,2026
Debrecen,Hungary,1700,2026
Eger,Hungary,1700,2026
Győr,Hungary,1700,2026
Kecskemét,Hungary,1700,2026
Miskolc,Hungary,1700,2026
Pest,Hungary,1700,1872
Pécs,Hungary,1700,2026
Sopron,Hungary,1700,2026
Szeged,Hungary,1700,2026
Haifa,Israel,1948,2026
Jaffa,Israel,1948,2026
Jerusalem,Israel,1948,2026
Tel Aviv,Israel,1948,2026
Bari,Italy,1700,2026
Bologna,Italy,1700,2026
Florence,Italy,1700,2026
Genoa,Italy,1700,2026
Milan,Italy,1700,2026
Naples,Italy,1700,2026
Padua,Italy,1700,2026
Palermo,Italy,1700,2026
Rome,Italy,1700,2026
Turin,Italy,1700,2026
Venice,Italy,1700,2026
Verona,Italy,1700,2026
Cēsis,Latvia,1700,2026
Daugavpils,Latvia,1700,2026
Jelgava,Latvia,1700,2026
Liepāja,Latvia,1700,2026
Riga,Latvia,1700,2026
Rēzekne,Latvia,1700,2026
Valmiera,Latvia,1700,2026
Ventspils,Latvia,1700,2026
Alytus,Lithuania,1700,2026
Kaunas,Lithuania,1700,2026
Klaipėda,Lithuania,1700,2026
Kėdainiai,Lithuania,1700,2026
Panevėžys,Lithuania,1700,2026
Telšiai,Lithuania,1700,2026
Ukmergė,Lithuania,1700,2026
Šiauliai,Lithuania,1700,2026
Amsterdam,Netherlands,1700,2026
Delft,Netherlands,1700,2026
Dordrecht,Netherlands,1700,2026
Groningen,Netherlands,1700,2026
Haarlem,Netherlands,1700,2026
Leiden,Netherlands,1700,2026
Maastricht,Netherlands,1700,2026
Rotterdam,Netherlands,1700,2026
The Hague,Netherlands,1700,2026
Utrecht,Netherlands,1700,2026
Brașov,Romania,1700,2026
Bucharest,Romania,1700,2026
Cluj,Romania,1700,2026
Constanța,Romania,1700,2026
Craiova,Romania,1700,2026
Galați,Romania,1700,2026
Iași,Romania,1700,2026
Oradea,Romania,1700,2026
Sibiu,Romania,1700,2026
Timișoara,Romania,1700,2026
Arkhangelsk,Russia,1700,2026
Astrakhan,Russia,1700,2026
Kazan,Russia,1700,2026
Leningrad,Russia,1924,1990
Moscow,Russia,1700,2026
Nizhny Novgorod,Russia,1700,2026
Orenburg,Russia,1743,2026
Petrograd,Russia,1914,1923
Pskov,Russia,1700,2026
Saint Petersburg,Russia,1703,1913
Saint Petersburg,Russia,1991,2026
Smolensk,Russia,1700,2026
Tver,Russia,1700,2026
Ufa,Russia,1700,2026
Veliky Novgorod,Russia,1700,2026
Voronezh,Russia,1700,2026
Yaroslavl,Russia,1700,2026
Yekaterinburg,Russia,1723,2026
Belgrade,Serbia,1700,2026
Kragujevac,Serbia,1700,2026
Niš,Serbia,1700,2026
Novi Sad,Serbia,1700,2026
Pančevo,Serbia,1700,2026
Smederevo,Serbia,1700,2026
Subotica,Serbia,1700,2026
Šabac,Serbia,1700,2026
Banská Bystrica,Slovakia,1700,2026
Bardejov,Slovakia,1700,2026
Bratislava,Slovakia,1700,2026
Košice,Slovakia,1700,2026
Levoča,Slovakia,1700,2026
Nitra,Slovakia,1700,2026
Prešov,Slovakia,1700,2026
Trnava,Slovakia,1700,2026
Žilina,Slovakia,1700,2026
Gothenburg,Sweden,1700,2026
Kalmar,Sweden,1700,2026
Karlskrona,Sweden,1700,2026
Linköping,Sweden,1700,2026
Lund,Sweden,1700,2026
Malmö,Sweden,1700,2026
Norrköping,Sweden,1700,2026
Stockholm,Sweden,1700,2026
Uppsala,Sweden,1700,2026
Visby,Sweden,1700,2026
Chernihiv,Ukraine,1700,2026
Dnipro,Ukraine,1776,2026
Kharkiv,Ukraine,1700,2026
Kherson,Ukraine,1778,2026
Kyiv,Ukraine,1700,2026
Mykolaiv,Ukraine,1789,2026
Odesa,Ukraine,1794,2026
Poltava,Ukraine,1700,2026
Sumy,Ukraine,1700,2026
Uman,Ukraine,1700,2026
Zaporizhzhia,Ukraine,1770,2026
