TownId,OpportunityTag,StartYear,EndYear
p_98e79f1876edd053,port,1926,
p_98e79f1876edd053,shipbuilding,1926,
p_98e79f1876edd053,shipping,1926,
p_9c05b755e4936288,coal,1960,
p_9c05b755e4936288,electric_power,1970,
p_9e6bb2fca77e18bf,coal,1902,
p_9e6bb2fca77e18bf,heavy_industry,1902,
p_9f81dfe297f84ea5,port,1700,
p_9f81dfe297f84ea5,tourism,1850,
p_a0efc8373a9b279b,finance,1800,
p_a0efc8373a9b279b,media,1800,
p_a0efc8373a9b279b,technology,1970,
p_a1fa7dec364d5b7e,tourism,1933,
p_a8c3eadb5c8dca2e,coal,1865,
p_a8c3eadb5c8dca2e,heavy_industry,1865,
p_a8c3eadb5c8dca2e,steel,1865,
p_abbb29fa808f2020,heavy_industry,1820,
p_abbb29fa808f2020,manufacturing,1820,
p_ac0b08183c91f15b,aviation,1954,
p_ac0b08183c91f15b,manufacturing,1954,
p_ac6573b9e1fe0871,chemicals,1880,
p_b2feaac170f8446f,media,1800,
p_b2feaac170f8446f,technology,1970,
p_b2feaac170f8446f,tourism,1850,
p_b40f178aee024a9b,port,1765,
p_b40f178aee024a9b,shipping,1765,
p_b40f178aee024a9b,tourism,1850,
p_bd002cbde978386f,oil,1855,
p_c023ff565cade74b,aviation,1930,
p_c023ff565cade74b,manufacturing,1930,
p_c0cfe995510f7e42,coal,1969,
p_c3a21c65de179415,heavy_industry,1820,
p_c887cd752f032789,coal,1750,
p_c887cd752f032789,heavy_industry,1820,
p_d7eef62bcd94a521,coal,1922,
p_d7eef62bcd94a521,heavy_industry,1922,
p_d7eef62bcd94a521,steel,1922,
p_d86f3f2b948efaf8,heavy_industry,1820,
p_d86f3f2b948efaf8,manufacturing,1820,
p_dc714feb413b2237,manufacturing,1820,
p_dc714feb413b2237,textiles,1790,
p_e009daf0613a7455,oil,1855,
p_e308e4faafc8ea0c,chemicals,1880,
p_e308e4faafc8ea0c,manufacturing,1820,
p_ed65d40d88305300,chemicals,1880,
p_ed65d40d88305300,oil,1855,
p_edf49629b00dc48d,coal,1945,
p_edf49629b00dc48d,electric_power,1960,
p_effdfac44809e44a,chemicals,1960,
p_f3c0a46e248e8166,food,1850,
p_f3c0a46e248e8166,manufacturing,1820,
p_f74a478689ade45a,tourism,1962,
p_f7d7643a98a9dbf2,tourism,1902,
p_f88144809809c671,forestry,1720,
p_faf2572ac2e7d16a,automotive,1910,
p_faf2572ac2e7d16a,manufacturing,1820,
p_faf2572ac2e7d16a,technology,1970,
