TownId,Town,County,Longitude,Latitude,Population,RegionId
town_jaroslaw_jaroslawski,Jarosław,jarosławski,22.70,50.03,37073,subcarpathia
town_zary_zarski,Żary,żarski,15.13,51.63,37052,lubusz
town_sanok_sanocki,Sanok,sanocki,22.22,49.55,36999,subcarpathia
town_olesnica_olesnicki,Oleśnica,oleśnicki,17.38,51.20,36979,lower_silesia
town_wolomin_wolominski,Wołomin,wołomiński,21.23,52.35,36848,masovia
town_marki_wolominski,Marki,wołomiński,21.10,52.33,36816,masovia
town_chrzanow_chrzanowski,Chrzanów,chrzanowski,19.40,50.13,36118,silesia
town_sochaczew_sochaczewski,Sochaczew,sochaczewski,20.22,52.23,35891,masovia
town_czechowice_dziedzice_bielski,Czechowice-Dziedzice,bielski,19.02,49.83,35839,silesia
town_sopot_sopot,Sopot,Sopot,18.55,54.43,35286,pomerania
town_brzeg_brzeski,Brzeg,brzeski,17.48,50.87,35226,opole
town_lebork_leborski,Lębork,lęborski,17.75,54.55,35101,pomerania
town_olkusz_olkuski,Olkusz,olkuski,19.55,50.28,34757,lesser_poland
town_jaslo_jasielski,Jasło,jasielski,21.47,49.73,34542,subcarpathia
town_cieszyn_cieszynski,Cieszyn,cieszyński,18.63,49.75,33981,silesia
town_krasnik_krasnicki,Kraśnik,kraśnicki,22.23,50.92,33917,lublin
town_nowy_targ_nowotarski,Nowy Targ,nowotarski,20.03,49.48,33257,lesser_poland
town_ilawa_ilawski,Iława,iławski,19.57,53.60,33206,warmia_masuria
town_olawa_olawski,Oława,oławski,17.30,50.95,33087,lower_silesia
town_dzierzoniow_dzierzoniowski,Dzierżoniów,dzierżoniowski,16.63,50.72,32869,lower_silesia
town_ostroda_ostrodzki,Ostróda,ostródzki,19.97,53.70,32714,warmia_masuria
town_grodzisk_mazowiecki_grodziski,Grodzisk Mazowiecki,grodziski,20.62,52.10,32452,masovia
town_police_policki,Police,policki,14.55,53.55,32243,west_pomerania
town_lubon_poznanski,Luboń,poznański,16.88,52.35,32015,greater_poland
town_pruszcz_gdanski_gdanski,Pruszcz Gdański,gdański,18.63,54.27,31578,pomerania
town_myszkow_myszkowski,Myszków,myszkowski,19.33,50.58,31261,silesia
town_mlawa_mlawski,Mława,mławski,20.38,53.12,31129,warmia_masuria
town_czeladz_bedzinski,Czeladź,będziński,19.07,50.32,31039,silesia
town_wrzesnia_wrzesinski,Września,wrzesiński,17.58,52.33,31000,greater_poland
town_zywiec_zywiecki,Żywiec,żywiecki,19.20,49.70,30733,silesia
town_augustow_augustowski,Augustów,augustowski,22.97,53.85,29946,podlasie
town_swarzedz_poznanski,Swarzędz,poznański,17.07,52.40,29862,greater_poland
town_zgorzelec_zgorzelecki,Zgorzelec,zgorzelecki,15.02,51.15,29810,lubusz
town_bochnia_bochenski,Bochnia,bocheński,20.42,49.97,29554,lesser_poland
town_bielawa_dzierzoniowski,Bielawa,dzierżoniowski,16.62,50.70,29523,lower_silesia
town_lukow_lukowski,Łuków,łukowski,22.38,51.93,29441,lublin
town_srem_sremski,Śrem,śremski,17.02,52.08,29176,greater_poland
town_gizycko_gizycki,Giżycko,giżycki,21.78,54.03,28964,warmia_masuria
town_brodnica_brodnicki,Brodnica,brodnicki,19.40,53.25,28701,kujawy_pomerania
town_krotoszyn_krotoszynski,Krotoszyn,krotoszyński,17.43,51.68,28701,lower_silesia
town_nowy_dwor_mazowiecki_nowodworski,Nowy Dwór Mazowiecki,nowodworski,20.72,52.43,28691,masovia
town_lowicz_lowicki,Łowicz,łowicki,19.93,52.10,27896,lodz
town_czerwionka_leszczyny_rybnicki,Czerwionka-Leszczyny,rybnicki,18.65,50.13,27888,silesia
town_wyszkow_wyszkowski,Wyszków,wyszkowski,21.45,52.60,26980,masovia
town_gorlice_gorlicki,Gorlice,gorlicki,21.17,49.67,26973,subcarpathia
town_zakopane_tatrzanski,Zakopane,tatrzański,19.95,49.30,26846,lesser_poland
town_ketrzyn_ketrzynski,Kętrzyn,kętrzyński,21.38,54.08,26788,warmia_masuria
town_reda_wejherowski,Reda,wejherowski,18.33,54.62,26707,pomerania
town_jarocin_jarocinski,Jarocin,jarociński,17.50,51.97,26453,greater_poland
town_turek_turecki,Turek,turecki,18.50,52.02,26441,lodz
town_klodzko_klodzki,Kłodzko,kłodzki,16.65,50.45,26421,lower_silesia
town_bilgoraj_bilgorajski,Biłgoraj,biłgorajski,22.72,50.53,26114,subcarpathia
town_pszczyna_pszczynski,Pszczyna,pszczyński,18.95,49.98,25702,silesia
town_wagrowiec_wagrowiecki,Wągrowiec,wągrowiecki,17.20,52.80,25607,greater_poland
town_swiecie_swiecki,Świecie,świecki,18.43,53.42,25486,kujawy_pomerania
town_zagan_zaganski,Żagań,żagański,15.32,51.62,25265,lubusz
town_kobylka_wolominski,Kobyłka,wołomiński,21.18,52.35,25149,masovia
town_bielsk_podlaski_bielski,Bielsk Podlaski,bielski,23.20,52.77,25044,podlasie
town_walcz_walecki,Wałcz,wałecki,16.45,53.27,24949,greater_poland
town_skawina_krakowski,Skawina,krakowski,19.82,49.98,24366,lesser_poland
town_wieliczka_wielicki,Wieliczka,wielicki,20.05,49.98,24215,lesser_poland
town_bialogard_bialogardzki,Białogard,białogardzki,15.98,54.00,23950,west_pomerania
town_koscierzyna_koscierski,Kościerzyna,kościerski,17.97,54.12,23778,pomerania
town_koscian_koscianski,Kościan,kościański,16.65,52.08,23716,greater_poland
town_sroda_wielkopolska_sredzki,Środa Wielkopolska,średzki,17.27,52.23,23672,greater_poland
town_lubliniec_lubliniecki,Lubliniec,lubliniecki,18.68,50.67,23551,silesia
town_kluczbork_kluczborski,Kluczbork,kluczborski,18.22,50.97,23254,opole
town_sandomierz_sandomierski,Sandomierz,sandomierski,21.75,50.68,22997,subcarpathia
town_bartoszyce_bartoszycki,Bartoszyce,bartoszycki,20.80,54.25,22984,warmia_masuria
town_szczytno_szczycienski,Szczytno,szczycieński,20.98,53.57,22813,warmia_masuria
town_swiebodzice_swidnicki,Świebodzice,świdnicki,16.33,50.87,22642,lower_silesia
town_piastow_pruszkowski,Piastów,pruszkowski,20.85,52.18,22559,masovia
town_jawor_jaworski,Jawor,jaworski,16.20,51.07,22462,lower_silesia
town_polkowice_polkowicki,Polkowice,polkowicki,16.07,51.60,22435,lubusz
town_ostrow_mazowiecka_ostrowski,Ostrów Mazowiecka,ostrowski,21.88,52.80,22216,masovia
town_laziska_gorne_mikolowski,Łaziska Górne,mikołowski,18.83,50.15,22130,silesia
town_goleniow_goleniowski,Goleniów,goleniowski,14.82,53.55,21979,west_pomerania
town_plonsk_plonski,Płońsk,płoński,20.38,52.63,21924,masovia
town_zambrow_zambrowski,Zambrów,zambrowski,22.25,52.98,21921,podlasie
town_wielun_wielunski,Wieluń,wieluński,18.57,51.22,21892,opole
town_aleksandrow_lodzki_zgierski,Aleksandrów Łódzki,zgierski,19.32,51.82,21754,lodz
town_grajewo_grajewski,Grajewo,grajewski,22.45,53.65,21709,podlasie
town_nowa_ruda_klodzki,Nowa Ruda,kłodzki,16.52,50.58,21643,lower_silesia
town_lubartow_lubartowski,Lubartów,lubartowski,22.62,51.45,21636,lublin
town_swiebodzin_swiebodzinski,Świebodzin,świebodziński,15.53,52.25,21550,lubusz
town_rydultowy_wodzislawski,Rydułtowy,wodzisławski,18.42,50.05,21385,silesia
town_mragowo_mragowski,Mrągowo,mrągowski,21.30,53.87,21302,warmia_masuria
town_orzesze_mikolowski,Orzesze,mikołowski,18.75,50.15,21290,silesia
town_kolo_kolski,Koło,kolski,18.65,52.20,21247,lodz
town_dzialdowo_dzialdowski,Działdowo,działdowski,20.18,53.23,21145,warmia_masuria
town_gryfino_gryfinski,Gryfino,gryfiński,14.48,53.25,20923,west_pomerania
town_opoczno_opoczynski,Opoczno,opoczyński,20.28,51.38,20746,swietokrzyskie
town_jozefow_otwocki,Józefów,otwocki,21.23,52.15,20741,masovia
town_luban_lubanski,Lubań,lubański,15.30,51.12,20723,lubusz
town_prudnik_prudnicki,Prudnik,prudnicki,17.60,50.32,20671,opole
town_hajnowka_hajnowski,Hajnówka,hajnowski,23.58,52.75,20265,podlasie
town_gostyn_gostynski,Gostyń,gostyński,17.02,51.88,20250,greater_poland
town_rawicz_rawicki,Rawicz,rawicki,16.87,51.60,20187,lower_silesia
town_sulejowek_minski,Sulejówek,miński,21.27,52.22,19951,masovia
town_andrychow_wadowicki,Andrychów,wadowicki,19.33,49.87,19837,lesser_poland
town_trzebinia_chrzanowski,Trzebinia,chrzanowski,19.47,50.17,19507,silesia
town_bierun_bierunsko_ledzinski,Bieruń,bieruńsko-lędziński,19.08,50.08,19375,silesia
town_pultusk_pultuski,Pułtusk,pułtuski,21.08,52.72,19294,masovia
town_chelmno_chelminski,Chełmno,chełmiński,18.43,53.35,19205,kujawy_pomerania
town_ozorkow_zgierski,Ozorków,zgierski,19.28,51.97,19128,lodz
town_pisz_piski,Pisz,piski,21.80,53.63,19029,warmia_masuria
town_konskie_konecki,Końskie,konecki,20.42,51.20,18878,swietokrzyskie
town_sokolow_podlaski_sokolowski,Sokołów Podlaski,sokołowski,22.27,52.40,18814,masovia
town_tomaszow_lubelski_tomaszowski,Tomaszów Lubelski,tomaszowski,23.42,50.45,18783,lublin
town_szamotuly_szamotulski,Szamotuły,szamotulski,16.57,52.60,18736,greater_poland
town_leczna_leczynski,Łęczna,łęczyński,22.88,51.30,18675,lublin
town_kamienna_gora_kamiennogorski,Kamienna Góra,kamiennogórski,16.03,50.78,18585,lower_silesia
town_pyskowice_gliwicki,Pyskowice,gliwicki,18.63,50.40,18455,silesia
town_kety_oswiecimski,Kęty,oświęcimski,19.22,49.88,18443,silesia
town_zlotow_zlotowski,Złotów,złotowski,17.03,53.37,18437,greater_poland
town_krasnystaw_krasnostawski,Krasnystaw,krasnostawski,23.18,50.98,18383,lublin
town_wadowice_wadowicki,Wadowice,wadowicki,19.50,49.88,18379,lesser_poland
town_gostynin_gostyninski,Gostynin,gostyniński,19.47,52.42,18355,lodz
town_konstantynow_lodzki_pabianicki,Konstantynów Łódzki,pabianicki,19.33,51.75,18335,lodz
town_myslenice_myslenicki,Myślenice,myślenicki,19.95,49.83,18325,lesser_poland
town_chodziez_chodzieski,Chodzież,chodzieski,16.92,52.98,18229,greater_poland
town_naklo_nad_notecia_nakielski,Nakło nad Notecią,nakielski,17.58,53.15,18026,kujawy_pomerania
town_sokolka_sokolski,Sokółka,sokólski,23.50,53.40,17967,podlasie
town_pionki_radomski,Pionki,radomski,21.45,51.48,17902,lublin
town_oborniki_obornicki,Oborniki,obornicki,16.82,52.63,17848,greater_poland
town_sierpc_sierpecki,Sierpc,sierpecki,19.67,52.87,17788,kujawy_pomerania
town_kostrzyn_nad_odra_gorzowski,Kostrzyn nad Odrą,gorzowski,14.63,52.60,17704,lubusz
town_lancut_lancucki,Łańcut,łańcucki,22.23,50.07,17675,subcarpathia
town_miedzyrzecz_miedzyrzecki,Międzyrzecz,międzyrzecki,15.57,52.52,17667,lubusz
town_radlin_wodzislawski,Radlin,wodzisławski,18.45,50.03,17665,silesia
town_strzelce_opolskie_strzelecki,Strzelce Opolskie,strzelecki,18.30,50.52,17657,opole
town_garwolin_garwolinski,Garwolin,garwoliński,21.63,51.90,17548,masovia
town_zielonka_wolominski,Zielonka,wołomiński,21.15,52.30,17486,masovia
town_hrubieszow_hrubieszowski,Hrubieszów,hrubieszowski,23.88,50.80,17232,lublin
town_rawa_mazowiecka_rawski,Rawa Mazowiecka,rawski,20.27,51.77,17193,lodz
town_lomianki_warszawski_zachodni,Łomianki,warszawski zachodni,20.88,52.33,17080,masovia
town_przasnysz_przasnyski,Przasnysz,przasnyski,20.88,53.02,17055,masovia
town_bogatynia_zgorzelecki,Bogatynia,zgorzelecki,14.95,50.90,17037,lubusz
town_trzcianka_czarnkowsko_trzcianecki,Trzcianka,czarnkowsko-trzcianecki,16.47,53.05,17009,greater_poland
town_braniewo_braniewski,Braniewo,braniewski,19.83,54.38,16974,pomerania
town_pleszew_pleszewski,Pleszew,pleszewski,17.78,51.88,16953,greater_poland
town_lask_laski,Łask,łaski,19.13,51.60,16925,lodz
town_radzionkow_tarnogorski,Radzionków,tarnogórski,18.90,50.40,16903,silesia
town_konstancin_jeziorna_piaseczynski,Konstancin-Jeziorna,piaseczyński,21.13,52.08,16889,masovia
town_kozienice_kozienicki,Kozienice,kozienicki,21.55,51.58,16877,lublin
town_libiaz_chrzanowski,Libiąż,chrzanowski,19.32,50.12,16838,silesia
town_bytow_bytowski,Bytów,bytowski,17.50,54.17,16833,pomerania
town_grojec_grojecki,Grójec,grójecki,20.87,51.87,16785,masovia
town_brzesko_brzeski,Brzesko,brzeski,20.62,49.97,16764,lesser_poland
town_ledziny_bierunsko_ledzinski,Lędziny,bieruńsko-lędziński,19.12,50.13,16731,silesia
town_miedzyrzec_podlaski_bialski,Międzyrzec Podlaski,bialski,22.80,51.98,16667,lublin
town_slubice_slubicki,Słubice,słubicki,14.57,52.35,16623,lubusz
town_namyslow_namyslowski,Namysłów,namysłowski,17.72,51.07,16622,opole
town_sulechow_zielonogorski,Sulechów,zielonogórski,15.62,52.08,16592,lubusz
town_gubin_krosnienski,Gubin,krośnieński,14.72,51.95,16528,lubusz
town_milanowek_grodziski,Milanówek,grodziski,20.65,52.12,16478,masovia
town_nowogard_goleniowski,Nowogard,goleniowski,15.13,53.67,16448,west_pomerania
town_olecko_olecki,Olecko,olecki,22.50,54.03,16364,podlasie
town_gryfice_gryficki,Gryfice,gryficki,15.20,53.90,16212,west_pomerania
town_rypin_rypinski,Rypin,rypiński,19.40,53.07,15999,kujawy_pomerania
town_ustron_cieszynski,Ustroń,cieszyński,18.82,49.72,15989,silesia
town_krapkowice_krapkowicki,Krapkowice,krapkowicki,17.97,50.47,15962,opole
town_deblin_rycki,Dęblin,rycki,21.87,51.57,15887,lublin
town_strzegom_swidnicki,Strzegom,świdnicki,16.35,50.97,15873,lower_silesia
town_ropczyce_ropczycko_sedziszowski,Ropczyce,ropczycko-sędziszowski,21.62,50.05,15864,subcarpathia
town_jelcz_laskowice_olawski,Jelcz-Laskowice,oławski,17.32,51.02,15648,lower_silesia
town_solec_kujawski_bydgoski,Solec Kujawski,bydgoski,18.23,53.08,15614,kujawy_pomerania
town_busko_zdroj_buski,Busko-Zdrój,buski,20.80,50.47,15611,swietokrzyskie
town_lidzbark_warminski_lidzbarski,Lidzbark Warmiński,lidzbarski,20.58,54.12,15489,warmia_masuria
town_radzyn_podlaski_radzynski,Radzyń Podlaski,radzyński,22.63,51.80,15428,lublin
town_lapy_bialostocki,Łapy,białostocki,22.88,52.98,15412,podlasie
town_swidwin_swidwinski,Świdwin,świdwiński,15.78,53.78,15338,west_pomerania
town_zlotoryja_zlotoryjski,Złotoryja,złotoryjski,15.92,51.13,15273,lower_silesia
town_ustka_slupski,Ustka,słupski,16.85,54.58,15199,pomerania
town_nisko_nizanski,Nisko,niżański,22.13,50.52,15193,subcarpathia
town_boguszow_gorce_walbrzyski,Boguszów-Gorce,wałbrzyski,16.20,50.77,15154,lower_silesia
town_przeworsk_przeworski,Przeworsk,przeworski,22.48,50.05,15105,subcarpathia
town_limanowa_limanowski,Limanowa,limanowski,20.42,49.72,15067,lesser_poland
town_choszczno_choszczenski,Choszczno,choszczeński,15.40,53.17,14998,west_pomerania
town_jedrzejow_jedrzejowski,Jędrzejów,jędrzejowski,20.30,50.65,14812,swietokrzyskie
town_zabkowice_slaskie_zabkowicki,Ząbkowice Śląskie,ząbkowicki,16.82,50.58,14728,lower_silesia
town_grodzisk_wielkopolski_grodziski,Grodzisk Wielkopolski,grodziski,16.37,52.23,14713,greater_poland
town_staszow_staszowski,Staszów,staszowski,21.17,50.57,14534,swietokrzyskie
town_chelmza_torunski,Chełmża,toruński,18.60,53.20,14362,kujawy_pomerania
town_nowy_tomysl_nowotomyski,Nowy Tomyśl,nowotomyski,16.13,52.32,14319,greater_poland
town_lipno_lipnowski,Lipno,lipnowski,19.17,52.85,14283,kujawy_pomerania
town_kartuzy_kartuski,Kartuzy,kartuski,18.20,54.33,14276,pomerania
town_mosina_poznanski,Mosina,poznański,16.83,52.23,14255,greater_poland
town_siemiatycze_siemiatycki,Siemiatycze,siemiatycki,22.87,52.43,14210,podlasie
town_skoczow_cieszynski,Skoczów,cieszyński,18.72,49.80,14116,silesia
town_niepolomice_wielicki,Niepołomice,wielicki,20.22,50.03,14022,lesser_poland
town_ostrzeszow_ostrzeszowski,Ostrzeszów,ostrzeszowski,17.93,51.42,13964,lower_silesia
town_glowno_zgierski,Głowno,zgierski,19.72,51.97,13961,lodz
town_kepno_kepinski,Kępno,kępiński,17.98,51.28,13889,opole
town_leczyca_leczycki,Łęczyca,łęczycki,19.20,52.05,13786,lodz
town_pszow_wodzislawski,Pszów,wodzisławski,18.38,50.03,13734,silesia
town_lubsko_zarski,Lubsko,żarski,14.97,51.78,13733,lubusz
town_wschowa_wschowski,Wschowa,wschowski,16.30,51.80,13717,lubusz
town_brwinow_pruszkowski,Brwinów,pruszkowski,20.72,52.13,13710,masovia
town_debno_mysliborski,Dębno,myśliborski,14.70,52.73,13626,west_pomerania
town_znin_zninski,Żnin,żniński,17.72,52.85,13623,kujawy_pomerania
town_barlinek_mysliborski,Barlinek,myśliborski,15.22,52.98,13611,west_pomerania
