RuleId,InstitutionId,Tier,StartYear,EndYear,MinPopulation,RequiredAnyOpportunityTags
post_office_2_1800_1849_15000_any,post_office,2,1800,1849,15000,
post_office_3_1800_1849_75000_any,post_office,3,1800,1849,75000,
post_office_1_1850_1945_1000_any,post_office,1,1850,1945,1000,
post_office_2_1850_1945_7000_any,post_office,2,1850,1945,7000,
post_office_3_1850_1945_40000_any,post_office,3,1850,1945,40000,
post_office_1_1946_open_0_any,post_office,1,1946,,0,
post_office_2_1946_open_5000_any,post_office,2,1946,,5000,
post_office_3_1946_open_25000_any,post_office,3,1946,,25000,
railway_station_1_1840_1899_10000_any,railway_station,1,1840,1899,10000,
railway_station_2_1840_1899_40000_any,railway_station,2,1840,1899,40000,
railway_station_3_1840_1899_150000_any,railway_station,3,1840,1899,150000,
railway_station_1_1900_1945_5000_any,railway_station,1,1900,1945,5000,
railway_station_2_1900_1945_20000_any,railway_station,2,1900,1945,20000,
railway_station_3_1900_1945_80000_any,railway_station,3,1900,1945,80000,
railway_station_1_1946_open_2000_any,railway_station,1,1946,,2000,
railway_station_2_1946_open_10000_any,railway_station,2,1946,,10000,
railway_station_3_1946_open_50000_any,railway_station,3,1946,,50000,
port_1_1700_1849_0_port;shipping,port,1,1700,1849,0,port;shipping
port_2_1700_1849_20000_port;shipping,port,2,1700,1849,20000,port;shipping
port_3_1700_1849_100000_port;shipping,port,3,1700,1849,100000,port;shipping
port_1_1850_open_0_port;shipping,port,1,1850,,0,port;shipping
port_2_1850_open_10000_port;shipping,port,2,1850,,10000,port;shipping
port_3_1850_open_50000_port;shipping,port,3,1850,,50000,port;shipping
