Number,Id,Name,Emoji,StartYear,EndYear,MaleEarly,FemaleEarly,MaleLate,FemaleLate,BaseSalary,Level1Title,Level2Title,Level3Title,Level4Title,Level5Title,LocationType,MinimumSettlementClass,RequiredOpportunityTags,PrimaryStat,SecondaryStat,EducationProfile,CareerFamily
42,beauty_and_cosmetics,Beauty & Cosmetics,💄,1900,,5,45,15,60,500,Salon Assistant,Beautician,Salon Manager,Beauty Company Director,Cosmetics Magnate,Generic,Town,-,appeal,intellect,Skilled,personal_services
43,radio_broadcasting,Radio Broadcasting,📻,1925,,36,9,9,9,650,Studio Assistant,Radio Technician,Programme Manager,Network Director,Broadcasting Magnate,Urban,City,-,appeal,intellect,Clerical,media_creative
44,aviation,Aviation,✈️,1930,,39,1,44,11,800,Ground Hand,Aircraft Mechanic,Operations Manager,Airline Director,Aviation Magnate,Specialist,Town,aviation,intellect,strength,Professional,transport
45,road_haulage,Road Haulage,🚚,1920,,74,1,68,8,600,Loading Hand,Driver,Depot Manager,Haulage Director,Transport Magnate,Generic,Town,-,strength,intellect,Low,transport
46,consumer_goods_and_appliances,Consumer Goods & Appliances,🔌,1920,,52,22,30,20,600,Assembly Hand,Technician,Production Manager,Works Director,Consumer Goods Magnate,Generic,Town,-,strength,intellect,Skilled,manufacturing
47,tourism_and_travel,Tourism & Travel,🧳,1850,,19,16,34,51,550,Travel Office Assistant,Travel Agent,Branch Manager,Tour Company Director,Tourism Magnate,Specialist,Town,tourism,appeal,intellect,Clerical,hospitality
48,plastics_industry,Plastics Industry,🧴,1940,,56,14,24,10,600,Plant Hand,Machine Operator,Shift Supervisor,Plastics Director,Plastics Magnate,Specialist,Town,chemicals,strength,intellect,Skilled,chemical
49,electronics_manufacturing,Electronics Manufacturing,🔋,1950,,46,20,28,22,650,Assembly Hand,Electronics Technician,Production Manager,Electronics Director,Electronics Magnate,Specialist,City,technology;manufacturing,intellect,strength,Skilled,manufacturing
50,pharmaceuticals,Pharmaceuticals,💊,1900,,24,16,34,41,750,Packaging Hand,Laboratory Technician,Production Manager,Pharma Director,Pharmaceutical Magnate,Specialist,City,chemicals,intellect,strength,Professional,science_health
51,television,Television,📺,1952,,34,11,15,15,650,Studio Runner,Broadcast Technician,Producer,Network Director,Television Magnate,Urban,City,-,appeal,intellect,Clerical,media_creative
52,telecommunications,Telecommunications,☎️,1880,,31,4,49,26,700,Cable Hand,Telephone Technician,Exchange Manager,Telecom Director,Telecom Magnate,Generic,Town,-,intellect,strength,Skilled,engineering
53,engineering_services,Engineering Services,📐,1850,,29,1,68,17,800,Drafting Assistant,Technician,Project Engineer,Consultancy Director,Engineering Magnate,Urban,City,-,intellect,strength,Professional,engineering
54,logistics_and_warehousing,Logistics & Warehousing,📦,1950,,50,6,56,24,600,Warehouse Hand,Dispatcher,Depot Manager,Logistics Director,Logistics Magnate,Generic,Town,-,intellect,strength,Clerical,transport
55,computing_and_it_services,Computing & IT Services,🖥️,1970,,59,10,58,32,750,Data Entry Operator,Computer Technician,Systems Manager,IT Director,Technology Magnate,Specialist,City,technology,intellect,-,Professional,technology
56,investment_and_financial_services,Investment & Financial Services,📈,1980,,40,4,46,24,850,Office Runner,Brokerage Clerk,Portfolio Manager,Investment Director,Finance Magnate,Urban,MajorCity,-,intellect,appeal,Professional,finance
57,private_security,Private Security,🛡️,1980,,52,3,52,13,550,Security Guard,Security Officer,Site Manager,Security Director,Security Magnate,Generic,Town,-,strength,appeal,Low,security
58,biotechnology,Biotechnology,🧬,1990,,21,14,28,28,800,Laboratory Assistant,Laboratory Technician,Research Manager,Biotech Director,Biotechnology Magnate,Urban,MajorCity,-,intellect,-,Academic,science_health
59,software_industry,Software Industry,💻,1980,,63,7,90,30,850,Support Technician,Programmer,Lead Developer,Software Director,Software Magnate,Specialist,City,technology,intellect,-,Professional,technology
60,video_game_industry,Video Game Industry,🎮,1995,,40,4,60,20,750,QA Tester,Game Developer,Lead Developer,Studio Director,Games Magnate,Specialist,City,technology,intellect,appeal,Skilled,technology
61,business_process_outsourcing,Business Process Outsourcing,🎧,1995,,24,46,40,50,500,Data Operator,Service Specialist,Team Leader,Operations Director,Services Magnate,Urban,City,-,appeal,intellect,Clerical,business_services
62,e_commerce,E-Commerce,🛒,2000,,39,26,50,50,600,Warehouse Picker,E-Commerce Operator,Marketplace Manager,Commerce Director,E-Commerce Magnate,Generic,Town,-,intellect,appeal,Clerical,commerce
63,digital_media,Digital Media,📱,2000,,36,24,48,48,600,Production Assistant,Content Producer,Editorial Manager,Media Director,Digital Media Magnate,Urban,City,-,appeal,intellect,Clerical,media_creative
64,cybersecurity,Cybersecurity,🔐,2005,,36,4,80,20,900,Support Technician,Security Analyst,Security Manager,Cybersecurity Director,Cybersecurity Magnate,Specialist,City,technology,intellect,-,Professional,technology
65,renewable_energy,Renewable Energy,☀️,2000,,40,4,68,22,750,Installation Hand,Energy Technician,Project Manager,Energy Director,Renewable Energy Magnate,Generic,Town,-,intellect,strength,Skilled,utilities
66,public_administration,Public Administration,🏛️,1700,,36,2,26,34,650,Office Assistant,Civil Servant,Department Head,Senior Administrator,State Executive,Generic,Town,-,intellect,appeal,Clerical,public_service
67,law_enforcement,Law Enforcement,👮,1700,,52,1,34,16,575,Constable,Police Officer,Sergeant,Superintendent,Police Chief,Generic,Town,-,strength,intellect,Clerical,security
68,military_service,Military Service,🎖️,1700,,82,1,42,12,575,Soldier,Non-Commissioned Officer,Junior Officer,Senior Officer,General Officer,Generic,SmallTown,-,strength,intellect,Low,military
69,postal_service,Postal Service,📯,1700,,34,4,18,27,500,Postal Assistant,Postal Clerk,Postmaster,Regional Postal Manager,Postal Director,Generic,SmallTown,-,intellect,strength,Skilled,public_service
70,religious_service,Religious Service,⛪,1700,,30,18,8,10,450,Religious Assistant,Religious Worker,Cleric,Senior Cleric,Religious Superior,Generic,SmallTown,-,appeal,intellect,Clerical,religion
71,performing_arts,Performing Arts,🎭,1700,,18,9,18,18,550,Stage Assistant,Performer,Lead Performer,Company Director,Entertainment Magnate,Urban,City,-,appeal,intellect,Clerical,media_creative
72,shipbuilding,Shipbuilding,🛳️,1700,,45,1,24,5,650,Shipyard Hand,Shipwright,Master Shipwright,Shipyard Director,Shipbuilding Magnate,Specialist,Town,shipbuilding,strength,intellect,Skilled,maritime
73,scientific_research,Scientific Research,🔬,1800,,11,1,20,17,800,Research Assistant,Laboratory Researcher,Research Scientist,Research Director,Scientific Institute Director,Urban,City,-,intellect,-,Academic,science_health
74,municipal_utilities,Municipal Utilities,🚰,1850,,48,2,30,13,600,Utility Hand,Utility Technician,Works Supervisor,Utility Director,Utilities Magnate,Generic,Town,-,strength,intellect,Skilled,utilities
75,priest_vocation,Priesthood,⛪,1700,,1,1,1,1,300,Priest,Parish Priest,Senior Priest,Dean,Bishop,Generic,SmallTown,-,appeal,intellect,Clerical,religion
76,nun_vocation,Religious Vocation,🙏,1700,,1,1,1,1,220,Nun,Sister,Senior Sister,Prioress,Abbess,Generic,SmallTown,-,intellect,appeal,Clerical,religion
